,tract20_nbhd,Routes
0,Allston,"['501', '51', '66', '64', '57', '86', '70']"
1,Brighton,"['65', '501', '51', '66', '64', '57', '86', '70']"
2,Charlestown,"['8993', '105', '91', '93', '104', '86', '92', '109']"
3,Chinatown,"['39', '43', '15', '501', '504', '505', '7', '9', '741', '57', '749', '11', '751', '743', '4']"
4,East Boston,"['116', '121', '171', '741', '712', '120', '116117', '713', '114', '450', '117', '112']"
5,Fenway,"['65', '47', '19', '747', '9', '28', '22', '57', '708', '55', '8', '60']"
6,Hyde Park,"['39', '50', '3233', '40', '4050', '32', '33', '24']"
7,Jamaica Plain,"['39', '50', '42', '38', '32', '33', '21', '40', '4050', '35', '16', '31', '14', '34E', '36', '37', '30', '51', '3233', '41', '34']"
8,Mattapan,"['716', '15', '240', '30', '21', '245', '28', '29', '26', '31', '14', '33', '24']"
9,Mission Hill,"['39', '65', '23', '66', '22', '747', '35', '60', '43', '15', '47', '19', '9', '28', '708', '14', '8', '45', '29', '41', '44']"
10,Roslindale,"['39', '50', '38', '32', '33', '21', '40', '4050', '35', '31', '14', '34E', '36', '37', '30', '51', '3233', '34', '24']"
11,Roxbury,"['23', '66', '42', '22', '38', '32', '1', '15', '47', '19', '9', '171', '28', '751', '14', '8', '36', '749', '45', '29', '41', '34', '10', '44']"
12,South Boston,"['7', '47', '17', '742', '9', '8', '11', '10', '16']"
13,South Boston Waterfront,"['18', '15', '17', '8', '41', '10', '16']"
14,South End,"['43', '15', '47', '19', '9', '171', '708', '749', '8', '45', '10', '41', '751', '1', '11']"
15,West End,"['57', '39', '15', '4']"
16,West Roxbury,"['36', '37', '51', '40', '4050', '35', '24', '38', '34', '34E', '52']"
