route_id,direction_id,average_travel_time
01,Inbound,30.4
01,Outbound,31.0
04,Inbound,24.5
04,Outbound,18.7
07,Inbound,14.5
07,Outbound,13.2
08,Inbound,46.6
08,Outbound,52.2
09,Inbound,29.5
09,Outbound,22.7
10,Inbound,34.7
10,Outbound,32.9
100,Inbound,11.3
100,Outbound,12.2
101,Inbound,25.8
101,Outbound,28.5
104,Inbound,24.4
104,Outbound,26.4
105,Inbound,28.3
105,Outbound,35.4
106,Inbound,28.9
106,Outbound,27.6
108,Inbound,28.6
108,Outbound,31.9
109,Inbound,21.0
109,Outbound,23.1
11,Inbound,29.5
11,Outbound,24.5
110,Inbound,25.7
110,Outbound,25.5
111,Inbound,21.3
111,Outbound,28.3
112,Inbound,47.3
112,Outbound,49.4
114,Inbound,18.5
114,Outbound,19.4
116,Inbound,32.5
116,Outbound,30.9
117,Inbound,29.7
117,Outbound,28.9
119,Inbound,33.7
119,Outbound,24.0
120,Inbound,22.9
120,Outbound,26.2
121,Inbound,13.1
121,Outbound,10.6
131,Inbound,29.3
131,Outbound,31.6
132,Inbound,28.7
132,Outbound,23.9
134,Inbound,30.2
134,Outbound,31.8
137,Inbound,38.7
137,Outbound,37.1
14,Inbound,46.5
14,Outbound,46.1
15,Inbound,21.6
15,Outbound,24.6
16,Inbound,25.9
16,Outbound,29.0
17,Inbound,18.9
17,Outbound,17.4
171,Outbound,24.7
18,Inbound,27.1
18,Outbound,26.0
19,Inbound,36.8
19,Outbound,41.8
191,Inbound,44.9
191,Outbound,43.1
192,Inbound,45.0
192,Outbound,26.5
193,Inbound,33.8
193,Outbound,32.0
194,Inbound,25.8
194,Outbound,34.7
201,Inbound,13.5
201,Outbound,11.3
202,Inbound,16.7
202,Outbound,12.5
21,Inbound,16.3
21,Outbound,16.0
210,Inbound,23.8
210,Outbound,23.6
211,Inbound,20.4
211,Outbound,25.3
215,Inbound,27.0
215,Outbound,29.4
216,Inbound,12.0
216,Outbound,20.1
217,Inbound,38.1
217,Outbound,40.0
22,Inbound,31.1
22,Outbound,27.4
220,Inbound,21.8
220,Outbound,23.8
222,Inbound,23.2
222,Outbound,21.2
225,Inbound,20.3
225,Outbound,21.4
226,Inbound,21.5
226,Outbound,18.9
23,Inbound,29.1
23,Outbound,32.2
230,Inbound,38.6
230,Outbound,38.1
236,Inbound,28.9
236,Outbound,25.0
238,Inbound,35.2
238,Outbound,37.8
24,Inbound,25.5
24,Outbound,31.6
240,Inbound,35.2
240,Outbound,31.6
245,Inbound,26.9
245,Outbound,29.1
26,Inbound,10.2
26,Outbound,10.1
28,Inbound,32.2
28,Outbound,41.3
29,Inbound,27.5
29,Outbound,28.7
30,Inbound,18.4
30,Outbound,19.3
31,Inbound,12.3
31,Outbound,14.4
32,Inbound,18.5
32,Outbound,19.0
33,Inbound,22.4
33,Outbound,24.2
34,Inbound,22.2
34,Outbound,21.2
34E,Inbound,43.3
34E,Outbound,43.4
35,Inbound,25.3
35,Outbound,24.4
350,Inbound,42.8
350,Outbound,44.0
351,Inbound,16.5
351,Outbound,15.2
354,Inbound,45.8
354,Outbound,49.0
36,Inbound,20.3
36,Outbound,20.1
37,Inbound,19.5
37,Outbound,17.3
38,Inbound,18.3
38,Outbound,18.4
39,Inbound,28.7
39,Outbound,29.4
40,Inbound,21.2
40,Outbound,22.8
41,Inbound,38.8
41,Outbound,32.9
411,Inbound,33.2
411,Outbound,35.1
42,Inbound,14.3
42,Outbound,14.9
424,Inbound,32.1
424,Outbound,39.1
426,Inbound,40.6
426,Outbound,35.9
428,Inbound,47.7
428,Outbound,33.2
429,Inbound,44.6
429,Outbound,43.2
43,Inbound,16.8
43,Outbound,11.9
430,Inbound,34.2
430,Outbound,33.6
435,Inbound,57.3
435,Outbound,62.0
436,Inbound,48.3
436,Outbound,42.1
439,Inbound,29.3
439,Outbound,23.2
44,Inbound,20.2
44,Outbound,25.6
441,Inbound,45.9
441,Outbound,40.9
442,Inbound,35.0
442,Outbound,32.6
45,Inbound,21.2
45,Outbound,27.1
450,Inbound,44.7
450,Outbound,48.0
451,Inbound,28.4
451,Outbound,45.2
455,Inbound,52.5
455,Outbound,55.5
456,Inbound,28.2
456,Outbound,29.4
47,Inbound,40.1
47,Outbound,41.5
50,Inbound,18.9
50,Outbound,16.2
501,Inbound,27.0
501,Outbound,31.7
504,Inbound,23.3
504,Outbound,25.0
505,Inbound,34.9
505,Outbound,46.2
51,Inbound,29.8
51,Outbound,28.1
52,Inbound,30.1
52,Outbound,37.1
55,Inbound,13.5
55,Outbound,18.5
553,Inbound,32.3
553,Outbound,32.5
554,Inbound,35.9
554,Outbound,32.4
556,Inbound,25.6
556,Outbound,25.8
558,Inbound,31.0
558,Outbound,27.9
57,Inbound,27.9
57,Outbound,25.9
59,Inbound,35.8
59,Outbound,35.6
60,Inbound,26.8
60,Outbound,29.1
61,Inbound,26.0
61,Outbound,14.4
62,Inbound,41.6
62,Outbound,41.5
64,Inbound,29.9
64,Outbound,33.7
65,Inbound,28.2
65,Outbound,29.3
66,Inbound,40.2
66,Outbound,44.0
67,Inbound,15.4
67,Outbound,20.3
68,Inbound,13.5
68,Outbound,13.2
69,Inbound,15.9
69,Outbound,14.5
70,Inbound,44.2
70,Outbound,41.2
71,Inbound,20.4
71,Outbound,20.8
73,Inbound,21.4
73,Outbound,20.0
74,Inbound,14.9
74,Outbound,16.4
743,Inbound,24.2
743,Outbound,23.2
746_,Inbound,14.1
746_,Outbound,11.9
75,Inbound,15.6
75,Outbound,16.8
76,Inbound,32.9
76,Outbound,35.7
77,Inbound,24.9
77,Outbound,25.0
78,Inbound,24.5
78,Outbound,27.0
80,Inbound,27.0
80,Outbound,28.5
83,Inbound,21.8
83,Outbound,20.0
85,Inbound,15.7
85,Outbound,16.6
86,Inbound,38.2
86,Outbound,40.6
87,Inbound,26.5
87,Outbound,26.6
88,Inbound,21.9
88,Outbound,20.3
89,Inbound,15.7
89,Outbound,22.4
90,Inbound,26.3
90,Outbound,24.9
91,Inbound,16.3
91,Outbound,13.0
92,Inbound,23.7
92,Outbound,18.1
93,Inbound,24.3
93,Outbound,18.9
94,Inbound,29.4
94,Outbound,21.0
95,Inbound,18.8
95,Outbound,26.8
96,Inbound,24.7
96,Outbound,26.2
97,Inbound,25.0
97,Outbound,24.6
99,Inbound,26.1
99,Outbound,28.3
CT2,Inbound,48.7
CT2,Outbound,41.4
CT3,Inbound,29.8
CT3,Outbound,24.8
SL1,Inbound,22.3
SL1,Outbound,13.7
SL2,Inbound,13.5
SL2,Outbound,10.2
SL4,Inbound,17.3
SL4,Outbound,17.2
SL5,Inbound,16.7
SL5,Outbound,15.2
